usernames:bamboogecko,----,-----patch-----,---milly---,--erudito--,--luisana--,--tequila--,-.case.-,-.maxie.-,-affinity-
usernames:-amaruk-,-anoni,-arcticfox-,-artimis-,-aziraphale-,-blackjack-,-blacklight-,-bluejay-,-bobble-,-boston-area-furmeets
usernames:-buck-,-caliban-,-caption-title-goes-here-,-castiel,-cg-,-crass-,-crypttomb-,-cybernightclaws,-darkfire,-dh-
usernames:-ditty-,-djannietz12-,-dominic-,-dux,-dynasty-,-fischkopf-,-fox-of-vanity-,-freya,-fullmooncapri-,-garrett-
usernames:-gelato-,-glados-,-grapedrank,-hiro-,-insanity-,-jay-,-kalva-,-kitsumi,-kitsunesculpts-,-kolo-
usernames:-kumashiro-,-leviticus-,-liy1100,-macabre-,-madgreenbunny-,-masaki-,-mesaboogie-,-morningstar-,-mouse-,-nemesis
usernames:-nikolai-,-ns-,-orangy-,-ottsel-,-pinkslug-,-playfulpaws-,-polynomial-,-rajah-,-rarity-,-raven-
usernames:-razorcutzuup-,-riko-,-ryn-,-ryushiramoto-,-safari-,-saka-,-samba-,-sea-monster-cupcakes,-shirousagi-,-skoll-
usernames:-skullbunny-,-slfurs,-snow-,-sparklefizz-,-sylveon,-taylor,-themetalbunnie-,-tigress-,-tizzy-,-toboe-
usernames:-valor,-xanx-,-xwoposa-freakx-,-yari,-ying-,-zippocat,-zk-,......,...koneko..,..o
usernames:.chaz,.l.,.luxer.,.o,.ontariofurs,.pandora.,.polaris.,.taya.,.waffles,0-mooncry-0
usernames:0-nyappy-0,0000018,0000zero0000,00129,007undercover,00agumon00,00livingdeadgirl00,00paranormalwolf00,010101,01101101~vgtg~
usernames:02cat02,02sesshoumaru,080trainman49.,0js6ll9sj0,0lly,0nn,0nonesuch0,0r0ch1,0rcface,0utlast
usernames:0w0,0x-albii-x0,0x0,0xdarkhunterx0,0xen0,0xhowlx0,0xumbreon,0xxblacklightxx0,10-ik,1000voltfox
usernames:101117,101dogscc,101inkstruck,102vvv,10a,10art1,111nana111,114zeta3,12,1234luna1234
usernames:123ekaterina,123unmun123,12edpanda,1320,1337chameleon,1337enrique,1337fox69,135aidrean,13anana,13cavities
usernames:13cj,13draco,13hearts,13luna,13marisa,13raxt0n,13x-selene,143oskar,14675ranchviewrdgarfieldarakad,1515
usernames:15m,16carkim,16rafa,1761695067,183engel,1842262089,19646,1976,19914936,1997cram
usernames:19chucki74,1an54ark,1bigroo,1bookfish,1bun,1dollaregg,1earth,1etbpeh,1kiki09,1minute
usernames:1mm0r7al999,1muskyhusky1,1naughtycoyote,1ncognit0,1nde,1nfam0us,1nt3st1n3s,1ockette,1pm,1simplythebest
usernames:1spiderman1,1trueotaku,1truewolf,1uncool,1xx1-3,1xxxxdragonxxxx1,2.0ghz,2.66,2008,2012bigbowser
usernames:2013.,20h,20pixels,22980,22life,2323,23tora.hiko,23uucwao,24-crayons,2456
usernames:247alpha,288gto,294116002,295101871,2atan2minion,2f43b42fd833d1e77420a8dae74190,2hai4you,2kk,2l8,2la
usernames:2ndchance,2pm.,2red-vampire,2spook,2tailedknight,2xeon2,3-2-1-digitsfurs,301,302,314159265
usernames:321blastoff,32d,32diegoalvarez,32xentertainment,35791,357sig,360fur,360wolfsniper,3721,3dragyz
usernames:3dsfur,3dtech,3eye,3e~,3l3m3n742,3necktie,3oknight,3rika,3vad,40kfur
usernames:41gryphon,420knight,420weasyl,4dll3rwolf,4dreamcastonly,4evalineart,4ever-evil,4horses,4icon,4n1m3r0x
usernames:4pawpaladoption,4pawpalstudios,4sak3nx.,4shadow,4tehpron,5-losers-block,5001,500dpi,5051,506furrycomunity
usernames:50hz,517469114,524,540-fur,5400360901,540491751,540furs,54321ultimate,55mm,574573991a
usernames:58floyd,590-015-239,5d9,5dead6of6night7,5foxes,5h0ckwav3,5h4d0w73rm,5he.wo1f,5m0ggy,5nickiez
usernames:5tr0beliets,60,609shadow,613,6417,66,666alan666,666leviathan,666raven999,66p7l
usernames:678,69thheroreconbattalion,6greenman,6rascalking5,6sth6,6thpigeon,72-hours-remain,727,72hz,757furs
usernames:7777737373,77zak,7camo7,7dreamwolfstears,7h3-w4nd3r1ng-50ul,7knights,7oet,7regenerations,7th-swell,7thbridge
usernames:7thstarcrew,8-kit,808furries,80vain08,828kyle,8492nd,85396,85moon,876695442,89mg
usernames:8bit-jam,8bit-wolf,8bitghost,8liana8,8nomorepainwolf,8osfur,8shad,8wolf8,91px,945pie
usernames:966,96kurotsuki,97natural-antagonist,9879,99,99peaches,9falco,9grim6,9haharharley1,9livesbunny
usernames:9string,9volt,Adrian_Wolf,AlphaSlayer,Angelo_Iya,Animal_crossing,Apolloh,Aspie_furs,Aspis,Baby_Bleu
usernames:BigPuppy_Stuart,Bishop_Austere,Bl-orange_Furs,BleachLovers,Books-and-Blotches,Charlie_B,CommodoreMouse,Cypeo,Dem_Ears,Depressed_Furs
usernames:DigimonFurs,DodgeLeijona,Electronic_Furs,Ellia_Wolfheart,Evildog,FantasyAndMythology,History_Furs,Isomniac_Maniac,Jack_the_otter,Jasufox
